page,key,english,arabic
common,common.brand,Rahma Media,
common,common.skip_to_content,Skip to content,
Column1,Column2,Column3,Column4
common,common.nav.home,Home,______ ________
common,common.nav.portfolio,Portfolio,
common,common.nav.about,About,___
common,common.nav.services,Services,_______
common,common.nav.process,Process,_____
common,common.nav.contact,Contact,_______
common,common.nav.cta,Start a project,____ _______
common,common.aria.main_navigation,builds brands people can feel.,____ ______ ______ ____ _____ __ ________ ____
common,common.aria.portfolio_navigation,"We build brands that speak with clarity, intention, and impact — from identity systems to integrated campaigns that drive real results.",___ ____ ______ ______ _____ _____ ______ ______ � _____ __ _____ ______ ______ ___ _______ _________ ____ ____ _____ ______.
common,common.aria.language_selection,About us,____ ___
common,common.aria.arabic,Book a call,____ ______
common,common.aria.english,,
common,common.aria.open_menu,,
common,common.footer.tagline,Crafted for launch momentum.,
common,common.footer.tagline_no_period,Crafted for launch momentum,
index,index.meta.description,"Rahma Media crafts cinematic brand stories, launch campaigns, social content, and digital experiences for ambitious teams.",
index,index.meta.title,Rahma Media | Creative Studio,
index,index.hero.image_alt,Rahma Media creative studio,
index,index.hero.headline_brand,Rahma Media,
index,index.hero.headline_line,builds brands people can feel.,
index,index.hero.body,"We build brands that speak with clarity, intention, and impact — from identity systems to integrated campaigns that drive real results.",
index,index.hero.about_cta,,
index,index.hero.book_cta,,
index,index.ticker.social_media,Social Media,
index,index.ticker.visual_identity,Visual Identity,
index,index.ticker.brand_strategy,Brand Strategy,
index,index.ticker.digital_marketing,Digital Marketing,
index,index.ticker.content_creation,Content Creation,
index,index.about.kicker,About*,
index,index.about.title,A marketing agency with good taste.,
index,index.about.body_1,Rahma Media is a creative studio built for brands that mean something. We believe every business has a story worth telling beautifully- and we're committed to telling yours.,
index,index.about.body_2,"We design campaigns, content, websites, launch ideas, little brand moments, big brand moments, and the moments that don't just look expensive- they feel intentional. Because your business deserves more than generic.",
index,index.about.body_3,Sharp visuals. Clean messaging. Better taste. Fast edits. All of it made with teh care your business deserves,
index,index.services.title,Our Services,
index,index.services.free_consultation.title,Free Consultation,
index,index.services.brand_direction.title,Brand Direction,
index,index.services.campaign_planning.title,Campaign Planning,
index,index.services.content_management.title,Content Management,
index,index.services.duration_1hr,1 hr,
index,index.services.price_100,US$100,
index,index.services.book_now,Book Now,
index,index.process.kicker,Process,
index,index.process.title,From signal to launch in weeks.,
index,index.process.body,"The workflow is tight on purpose: clarify what needs to move, make the work, measure the response, then sharpen the next wave.",
index,index.process.view_work_cta,View Our Work,
index,index.process.process_cta,Our process,
index,index.process.image_alt,Creative team workshopping a launch plan at a table,
index,index.process.step_1.title,Map,
index,index.process.step_1.body,"Audience, offer, story, channels.",
index,index.process.step_2.title,Make,
index,index.process.step_2.body,"Films, edits, pages, posts.",
index,index.process.step_3.title,Move,
index,index.process.step_3.body,"Launch, measure, optimize.",
index,index.cta.title,Bring the idea. We'll make it impossible to ignore.,
index,index.cta.body,"Built for teams that want taste, speed, and a launch partner who can move from strategy to finished creative without losing the thread.",
